Time,Latitude,Longitude,Test Name,Direction,Test Status,Operator,Technology,Band Number,Collection,RAN Configuration,Cell Type,PCI 5G NR,SSB Index,Cell Id,DL NR-ARFCN,DL Subcarrier Spacing,Type,Round Trip Time Average,Packet Size,Number of Attempts,Protocol
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,24,,4314480661,392410,,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,447,,4314480661,392410,,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,447,0,4314480661,392410,15,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,,4299808789,392410,,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,,4314480661,392410,,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,0,4314480661,392410,15,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,681,,4314480661,392410,,MCG PCell,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell1,24,,,126270,15,MCG SCell1,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell2,681,,,520110,30,MCG SCell2,3208.97,32,10,ICMP
2025-02-24 18:01:06.807,36.19551400,-94.18445800,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell3,681,,,502110,30,MCG SCell3,3208.97,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,,4314480661,392410,,MCG PCell,72.39,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,0,4314480661,392410,15,MCG PCell,72.39,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,681,,4314480661,392410,,MCG PCell,72.39,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell1,24,,,126270,15,MCG SCell1,72.39,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell2,681,,,520110,30,MCG SCell2,72.39,32,10,ICMP
2025-02-24 18:01:47.215,36.19593400,-94.18455900,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG SCell3,681,,,502110,30,MCG SCell3,72.39,32,10,ICMP
2025-02-24 18:02:27.974,36.19608700,-94.18442600,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,,4314480661,392410,,MCG PCell,90.58,32,10,ICMP
2025-02-24 18:02:27.974,36.19608700,-94.18442600,Ping,Mixed,Completed,T-Mobile,5G NR,25,Day1-TMO-MNO-DEF-IN,5G SA,MCG PCell,585,0,4314480661,392410,15,MCG PCell,90.58,32,10,ICMP
